date,sku_id,product_name,category,vendor,warehouse_location,sales_channel,units_sold,stock_level,reorder_point,supplier_lead_time_days,unit_cost,unit_price,revenue,on_promotion,discount_pct,temperature_c,customer_rating
2025-05-08,SKU103,Yoga Mat,Fitness,Vendor C,East,Retail Store,58.0,43.0,42,8,28.05,51.04,2960.32,False,0.0,30.1,4.7
2025-07-29,SKU111,Water Bottle,Fitness,Vendor A,North,Retail Store,33.0,350.0,79,12,24.6,52.01,1716.33,False,0.0,19.9,4.8
2025-04-17,SKU102,Running Shoes,Footwear,Vendor B,West,Online,46.0,259.0,51,14,48.81,90.37,4157.02,False,0.0,21.3,4.6
2025-09-25,SKU112,Hoodie,Apparel,Vendor B,South,Online,52.0,316.0,73,11,65.48,148.54,7724.08,False,0.0,19.9,4.7
2025-01-23,SKU107,Baseball Cap,Accessories,Vendor A,South,Wholesale,32.0,122.0,74,13,46.67,72.31,2313.92,False,0.0,21.5,5.0
2025-11-21,SKU108,Sports Socks,Apparel,Vendor B,East,Retail Store,88.0,323.0,64,3,56.21,111.36,9799.68,False,0.0,27.2,4.0
2025-01-08,SKU102,Running Shoes,Footwear,Vendor B,West,Online,42.0,99.0,51,14,48.81,90.37,3795.54,False,0.0,24.6,4.2
2025-09-18,SKU107,Baseball Cap,Accessories,Vendor A,South,Online,58.0,266.0,74,13,46.67,72.31,4193.98,False,0.0,40.5,4.3
2025-08-12,SKU106,Denim Jeans,Apparel,Vendor C,South,Online,44.0,154.0,87,9,71.61,120.54,5303.76,False,0.0,25.5,4.1
2025-05-07,SKU108,Sports Socks,Apparel,Vendor B,East,Online,88.0,172.0,64,3,56.21,111.36,9799.68,True,22.0,12.7,3.9
2025-04-18,SKU109,Gym Bag,Fitness,Vendor C,West,Online,11.0,198.0,45,12,73.66,161.49,1776.39,False,0.0,23.1,4.0
2025-11-19,SKU110,Smart Watch,Electronics,Vendor D,North,Online,83.0,281.0,88,6,77.96,163.29,13553.07,False,0.0,25.7,4.2
2025-04-12,SKU108,Sports Socks,Apparel,Vendor B,East,Online,83.0,212.0,64,3,56.21,111.36,9242.88,False,0.0,27.1,4.6
2025-11-25,SKU107,Baseball Cap,Accessories,Vendor A,South,Online,96.0,184.0,74,13,46.67,72.31,6941.76,False,0.0,34.1,4.3
2025-03-07,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Retail Store,35.0,140.0,74,6,33.5,57.73,2020.55,True,16.0,8.4,5.0
2025-12-02,SKU109,Gym Bag,Fitness,Vendor C,West,Retail Store,16.0,232.0,45,12,73.66,161.49,2583.84,False,0.0,25.7,
2025-09-01,SKU103,Yoga Mat,Fitness,Vendor C,East,Retail Store,78.0,60.0,42,8,28.05,51.04,3981.12,True,32.0,38.0,3.8
2025-06-06,SKU102,Running Shoes,Footwear,Vendor B,West,Online,,196.0,51,14,48.81,90.37,4879.98,False,0.0,33.5,4.7
2025-10-03,SKU102,Running Shoes,Footwear,Vendor B,West,Wholesale,69.0,112.0,51,14,48.81,90.37,6235.53,False,0.0,18.3,3.9
2025-03-16,SKU101,Cotton T-Shirt,Apparel,Vendor A,North,Wholesale,31.0,323.0,74,6,33.5,57.73,1789.63,False,0.0,29.4,4.4
2025-05-14,SKU103,Yoga Mat,Fitness,Vendor C,East,Online,46.0,202.0,42,8,28.05,51.04,2347.84,False,0.0,25.1,3.4
2025-03-07,SKU107,Baseball Cap,Accessories,Vendor A,South,Online,54.0,257.0,74,13,46.67,72.31,3904.74,False,0.0,30.0,3.7
2025-01-30,SKU102,Running Shoes,Footwear,Vendor B,West,Retail Store,32.0,291.0,51,14,48.81,90.37,2891.84,True,19.0,19.9,5.0
2025-08-22,SKU105,Sunglasses,Accessories,Vendor A,North,Online,26.0,288.0,59,3,85.64,143.16,3722.16,False,0.0,28.6,4.8
